Adam 156 Sub-zero Abyss	3199439626	Can't register dvar
Adam 156 Urban Parachute	2082640650	No file descriptor available
Adam 18 Miami Case	2612114442	Firing a weapon with fire type Aim Only.
Adam 564 Stealth Zombie	904544970	Attempt to register Client Field post finalization of Client Field registration period failed.
Adam 614 Steel Retreat	2258850890	No clientfield named found in set.
Alfa 559 Metallic Python	1046896252	not an entity
Alfa 597 Sapphire Missile	1991549692	Error initializing lzma
Baker 223 Meridian Absolution	3990130335	player getperks(<localClientNum>): localClientNum out of range
Baker 441 Proper Section	2346900383	not an object
Baker 546 Vengeful Gladiator	3320597663	SetSavedDvar can only be called on dvars with the SAVED flag set
Baker 917 Brute Goodnight	4104994143	can't allocate more script variables
Boy 108 Sapphire Sagittarius	766802866	Invalid fastfile header
Boy 145 Destructive Tank	3304446514	not an entity
Boy 44 Blood Lamprey	3971544690	time cannot be negative
Boy 533 Calm Uncle	2873910834	Corrupt or invalid string reference (not a valid string)
Boy 601 Everest Tiger	312545010	not a vector
Boy 618 Platinum Badger	271075570	Invalid gunner weapon specified
Boy 851 Revolutionary Locker	2214262642	mission index out of range
Boy 856 Burner Eclipse	1015938482	not an entity
Boy 918 Monster Gorilla	364298674	not an actor
Boy 986 Extreme Crossbones	3488519410	object is not an array, string, or vector
Bravo 228 Blind Defense	1666590335	not an int
Bravo 420 Marble Leviathan	4163356671	mission index out of range
Bravo 421 Gold Marauder	1461218623	string index out of range
Bravo 492 Wild Convoy	1616125503	not an entity
Bravo 659 Operation Bear	57350207	Unknown perk
Bravo 727 Marble Missile	1982281215	exceeded message limit
Bravo 822 Grizzly Cover	2658987327	Invalid string
Cast 166 Quick Menace	1431456749	not a script function
Cast 222 Rapid Operator	1492330861	script stack overflow (too many embedded function calls)
Cast 245 Classic Retreat	2255127213	Parameter must be an array
Cast 335 Midas Stallion	952690413	parameter can't be cast to a number
Cast 422 Cloaked Firestarter	3429737773	getweaponaccuracy must be called on an AI only
Cast 496 Cloaked Legend	2725053485	caller is not an object
Cast 501 Chief Werewolf	962032109	Entity does not exist.
Cast 621 Broken Mirage	3263266093	DirectX Error
Cast 82 Disguised Python	1047459117	Entity is not a rocket
Cast 899 Dazed Management	4242478637	Trying to read corrupted file
Charlie 1009 War Leviathan	4163774148	Optional argument must be a float or integer type
Charlie 19 Loud Arrow	1498641348	not an array
Charlie 285 Military Gorilla	359760836	G_Spawn: no free entities
Charlie 332 Apocalyptic Theater	2504938884	outfit id out of bound
Charlie 376 Steel Alligator	1168374532	Trying to read corrupted file
Charlie 530 Cut Security	2036025092	formatting can only be used with player entity, string, hash, int or float
Charlie 555 Acid Jackpot	3812357892	script stack overflow (too many embedded function calls)
Charlie 643 Ace Alligator	1167526340	invalid session mode
Collar 433 Covert Salute	2306441167	invalid seat position.
Collar 543 Satellite Fort	1756043215	Usage: kill( <source position>, <attacker>, <inflictor>, <weapon>)
Collar 738 Destructive Crocodile	1156941583	Invalid threat bias group
Collar 772 Flying Shell	2378228303	invalid session mode
Collar 974 Furious Tornado	177453967	bad dvar type
David 1016 Grizzly Squad	2440869003	can't find item for mode
David 151 Gothic Garrison	1770186571	invalid loadout slot
David 180 Camouflaged Asset	2572009355	vector scale expecting vector
David 246 Violet Axe	285416523	not an object
David 368 Fast Highway	3596277323	endoncallback must have at least one valid argument
David 625 Metal Fog	812063243	Array index not a valid type, expecting an int, string, or entity type
David 658 Battle Mole	2737681163	assert fail (with message)
David 692 Clockwork Fury	2945837835	not an object
David 888 Patient Bayonet	1517473035	Value out of range.  Allowed values: 0 to 2
Delta 18 Foolish Mamba	1273214009	CScr_PlayFX: invalid effect
Delta 233 Desolate Yeti	3875481145	First argument of a match call must be a pointer to a struct
Delta 29 Desert Bandit	3205256249	Kill failed
Delta 291 Operation Stockade	2473308409	Execution Queue out of memory
Delta 320 Monster Tornado	179749049	cannot cast to bool
Delta 321 Classic Corps	1634348473	Vehicles only support bullet, bomb, gas, grenade and projectile weapons
Delta 357 Divebomb Fleet	1703931129	Trying to read corrupted file
Delta 418 Boiling Overlord	2909354809	invalid team name (not possible)
Delta 515 United Mauler	3137736761	script stack overflow (too many embedded function calls)
Delta 694 Fierce Fort	1752379961	param is not an object
Delta 796 Nightshade Artillery	2274889209	Invalid type passed in from array into waittill parameter list
Delta 884 Aggressive Sunrise	3706227705	Invalid threat bias group
Delta 899 Urban Claw	2955023929	not an object
Dog 199 Violet Management	4228099247	Time must be positive
Dog 415 Dry Owl	409067247	No clientfield named found in set.
Dog 557 Mythic Werewolf	969013743	The server sent us a config checksum but we have don't have one
Dog 620 Barricaded Rage	3042707823	Corrupt or invalid string reference (not a string)
Dog 805 Due Alligator	1170973103	checksum/mapcrc mismatch
East 1005 Found Badger	269518924	Ammo count must not be negative
East 211 Dual Munition	2019033740	mission index out of range
East 481 Knockout Crossbones	3482075788	caller is not an object
East 511 Blue Gemini	654494860	Profile Variable has an invalid name
Echo 428 Camouflaged Goat	1246623636	not an entity
Echo 507 Bigfoot Security	2040697556	Read error of file
Echo 51 Emerald Section	2344222932	assert fail
Echo 526 Cut Bridge	2589667284	invalid velocity parameter in moveslide command
Echo 530 Undercover Contraband	2706458388	Trying to get a local client index for a client that is not a local client.
Echo 690 Dazed Owl	4173088841	xpak file does not contain a valid header
Echo 758 Sleeper Pavement	3615151060	SysError in thread (msg)
Echo 782 Shellshocked Artillery	2269096660	vector scale expecting vector
Echo 795 Tan Mirage	3256105940	Could not find zone
Echo 819 Ballistic Hound	493677524	Cannot delete entity during its think
Echo 828 Hurt Scorpio	744499668	too many vehicles
Edward 388 Embattled Ultra	2855209542	Cannot call IncrementClientField on a non-'counter' type clientfield.
Edward 427 Platinum Mirage	3257432710	type is not a float or int
Edward 43 Sleeper Sabotage	2289696774	Driver Internal Error
Edward 522 Risky Wolverine	1132507782	bad opcode
Edward 807 Revolutionary Cover	2667191558	Unknown ent type in GScr_GetFieldSetForEntityType.
Edward 943 Bogus Siege	2386350598	index is an illegal objective index.
Fall 146 Unlimited Activity	4042343709	bad anim tree
Fall 242 Resolute Force	1721606685	script stack overflow (too many embedded function calls)
Fall 29 Tall Undertow	3410121757	cannot cast to bool
Fall 313 Nickel Operator	1478783005	Pointer types passed into waittill_timeout expressions must evaluate as arrays
Fall 344 Camouflaged Cover	2655888797	endon must have at least one valid argument
Fall 372 Dangerous Puma	924957661	Time must be positive
Fall 388 Quick Conflict	1364331101	Object must be an array
Fall 508 Solo Defense	1668598749	 not an object
Fall 52 Air Spear	2921226909	Can't register dvar
Fall 640 Risky Sunrise	3699398237	controllerIndex doesn't index MAX_GPAD_COUNT
Fall 697 Defiant Owl	417653725	EXE_PATCH_STATSOVERFLOW
Fall 78 Sub-zero Serpent	3098745181	invalid character index
Fall 828 Divided Razor	3791399389	invalid team name (not possible)
Foxtrot 14 Nuclear Cobra	209668787	RandomInt parm must be positive integer.
Foxtrot 150 Bayou Hound	489261299	Invalid gunner index set in FireWeapon
Foxtrot 187 Aggressive Ordnance	2078816051	not a valid name for a clientfield set.
Foxtrot 345 Strange Pig	1385570291	assert fail (with message)
Foxtrot 426 Air Python	1042158387	First argument of a match call must be a struct
Foxtrot 465 Area Force	1725821875	exceeded message limit
Foxtrot 56 Small Dementor	3222417139	size cannot be applied to type
Frank 1022 Muzzled Missile	1996212680	associativeArray called with unbalanced key/value count.
Frank 175 General Stockade	2479879368	RegisterClientField can only accept bit ranges between 1 and 32.
Frank 25 Good Fort	1746959112	script stack overflow (too many embedded function calls)
Frank 575 Unlimited Salvo	2331090760	stack does not have the pool
Frank 581 Rocky Taurus	648498056	Can't use wait with profiler
Frank 620 Proper Giant	887228744	origin being set to NAN.
Frank 654 Knockout Ice	3633073800	parameter does not exist
Frank 995 General Fleet	1708109640	try to send format param with unknown type
Golf 1002 Desert Beastmaster	3020745427	DirectX Error
Golf 375 Green Ship	2147578195	not a float,
Golf 643 Earth Specialist	2417691091	Execution Queue out of memory
Golf 668 Nuclear Cougar	998219219	parameter does not exist
Golf 974 Urban Bison	1109572499	invalid session mode
Hotel 151 Guerrilla Jackpot	3815761761	Error when loading fastfile
Hotel 173 Tragic Goblin	3459949409	Failed to alloc client field - MAX_CLIENTFIELD_FIELDS_IN_SET=512 exceeded.
Hotel 39 Weak Outlaw	4048135393	Can't find variable
Hotel 418 Grey Management	4229118753	Invalid threat bias group
Hotel 422 Fake Helmet	1816372513	invalid session mode
Hotel 447 Small Absolution	3977444065	ReportLootReward: entity must be a player entity
Hotel 460 United Goblin	3456527393	script stack overflow (too many embedded function calls)
Hotel 511 Meridian Boar	114609313	USAGE: GetInfluencerPreset could not find influencer with name
Hotel 621 Dry Greyhound	476151073	invalid session mode
Hotel 874 Gray Ordnance	2065311777	Entity is not of guidance type Drone
Ida 309 Barricaded Bandit	3210502050	not an object
Ida 635 Rightful Elephant	467754466	Error registering client field.  bCallbacksFor0WhenNew (CF_CALLBACK_ZERO_ON_NEW_ENT) is disallowed for CF_SCRIPTMOVERFIELDS.
Ida 736 Quick Lamprey	3964856290	kill called on an entity with magic bullet shield (FL_DISABLE_DEATH)
Ida 941 Gray Mustang	3894031202	Can't find gamedata/playeranim/playeranimtypes.txt
India 185 Operation Crocodile	1147874990	start time must be between 0 and 1
India 36 Skyline Overlord	2903034222	Invalid mode id
India 441 Stealth Star	3857374126	caller is not an object
India 448 Lost Siege	2385937518	localized istring not precached
