pool,func,minargs,maxargs,type,address,definition
GSC-Function-4f437c0,islaseron,1,1,0,BlackOps4.exe+330FF60,
GSC-Function-4f437c0,isitemrestricted,1,1,0,BlackOps4.exe+330FFA0,
GSC-Function-4f437c0,getequipmentheadobjective,1,1,0,BlackOps4.exe+330FFF0,
GSC-Function-4f437c0,getcrateheadobjective,1,1,0,BlackOps4.exe+3310040,
GSC-Function-4f437c0,getmapscriptbundle,0,1,0,BlackOps4.exe+3307B60,
GSC-Function-4f437c0,getgametypescriptbundle,0,0,0,BlackOps4.exe+3307BC0,
GSC-Function-4f437c0,function_6a9e36d6,0,0,0,BlackOps4.exe+3307D50,
GSC-Function-4f437c0,isplayernumber,1,1,0,BlackOps4.exe+334DBD0,
GSC-Function-4f437c0,setwinningplayer,1,1,0,BlackOps4.exe+334FCC0,
GSC-Function-4f437c0,setwinningteam,1,1,0,BlackOps4.exe+334FD70,
GSC-Function-4f437c0,announcement,2,7fffffff,0,BlackOps4.exe+334FE20,
GSC-Function-4f437c0,clientannouncement,2,7fffffff,0,BlackOps4.exe+3350040,
GSC-Function-4f437c0,getteamscore,1,1,0,BlackOps4.exe+3350160,
GSC-Function-4f437c0,setteamscore,2,2,0,BlackOps4.exe+3350190,
GSC-Function-4f437c0,setclientnamemode,1,1,0,BlackOps4.exe+3350250,
GSC-Function-4f437c0,updateclientnames,0,0,0,BlackOps4.exe+3350310,
GSC-Function-4f437c0,getteamplayersalive,1,1,0,BlackOps4.exe+3350590,
GSC-Function-4f437c0,getdroppedweapons,0,0,0,BlackOps4.exe+3352690,
GSC-Function-4f437c0,worldentnumber,0,0,0,BlackOps4.exe+330B430,
GSC-Function-4f437c0,beamlaunch,5,5,0,BlackOps4.exe+330B4B0,
GSC-Function-4f437c0,obituary,4,4,0,BlackOps4.exe+330B7E0,
GSC-Function-4f437c0,function_f887b191,3,4,0,BlackOps4.exe+330BA30,
GSC-Function-4f437c0,reviveobituary,1,1,0,BlackOps4.exe+330BC10,
GSC-Function-4f437c0,adddemobookmark,9,a,0,BlackOps4.exe+330E0B0,
GSC-Function-4f437c0,function_f539d880,0,0,0,BlackOps4.exe+330DFB0,
GSC-Function-4f437c0,stopdemorecording,0,0,0,BlackOps4.exe+330E080,
GSC-Function-4f437c0,positionwouldtelefrag,1,1,0,BlackOps4.exe+330E4D0,
GSC-Function-4f437c0,boundswouldtelefrag,2,2,0,BlackOps4.exe+330E690,
GSC-Function-4f437c0,recordusedspawnpoint,3,3,0,BlackOps4.exe+330E6F0,
GSC-Function-4f437c0,testspawnpoint,1,1,0,BlackOps4.exe+33569F0,
GSC-Function-4f437c0,getstarttime,0,0,0,BlackOps4.exe+330E7A0,
GSC-Function-4f437c0,map_restart(savepersist=false),0,1,0,BlackOps4.exe+3356AC0,cbuff(fast_restart\n)
GSC-Function-4f437c0,missionrestart,0,0,0,BlackOps4.exe+3356B70,cbuff('mission_restart\n')
GSC-Function-4f437c0,missionfailed,0,0,0,BlackOps4.exe+3356B90,restart with finished level
GSC-Function-4f437c0,exitlevel,0,2,0,BlackOps4.exe+3356D10,
GSC-Function-4f437c0,killserver,0,0,0,BlackOps4.exe+3356E30,
GSC-Function-4f437c0,addtestclient(string unk1 = undefined; string unk2 = undefined),0,2,0,BlackOps4.exe+3356E80,
GSC-Function-4f437c0,setobjectivepointstatus,4,4,0,BlackOps4.exe+3359040,
GSC-Function-4f437c0,setbombtimer,2,2,0,BlackOps4.exe+3359050,
GSC-Function-4f437c0,function_4c27be22,1,1,0,BlackOps4.exe+335B260,
GSC-Function-4f437c0,setroundsplayed,1,1,0,BlackOps4.exe+335B310,
GSC-Function-4f437c0,setinitialplayersconnected,0,0,0,BlackOps4.exe+335D4E0,
GSC-Function-4f437c0,setmatchflag,2,2,0,BlackOps4.exe+335F740,
GSC-Function-4f437c0,setmatchtalkflag,2,2,0,BlackOps4.exe+335D4F0,
GSC-Function-4f437c0,setarchive,ffffffff,ffffffff,0,BlackOps4.exe+336C420,
GSC-Function-4f437c0,allclientsprint,1,1,0,BlackOps4.exe+3363C50,
GSC-Function-4f437c0,clientprint,2,2,0,BlackOps4.exe+336C390,
GSC-Function-4f437c0,mapexists(string name)->bool,1,1,0,BlackOps4.exe+3365DE0,return true
GSC-Function-4f437c0,isvalidgametype,1,1,0,BlackOps4.exe+3365E10,
GSC-Function-4f437c0,skillupdate,0,2,0,BlackOps4.exe+3372810,
GSC-Function-4f437c0,function_ecfc02d0,0,0,0,BlackOps4.exe+338E520,
GSC-Function-4f437c0,setteamspyplane,2,2,0,BlackOps4.exe+33075B0,
GSC-Function-4f437c0,getteamspyplane,1,1,0,BlackOps4.exe+3307610,
GSC-Function-4f437c0,setteamsatellite,2,2,0,BlackOps4.exe+3307640,
GSC-Function-4f437c0,getteamsatellite,1,1,0,BlackOps4.exe+33076F0,
GSC-Function-4f437c0,getassignedteam,1,1,0,BlackOps4.exe+32DE710,
GSC-Function-4f437c0,getassignedteamname,1,1,0,BlackOps4.exe+32DE8A0,
GSC-Function-4f437c0,getdefaultclassslot,2,2,0,BlackOps4.exe+3305790,
GSC-Function-4f437c0,getitemattachment,2,2,0,BlackOps4.exe+3301440,
GSC-Function-4f437c0,getitemattachmentallocationcost,2,2,0,BlackOps4.exe+3305660,
GSC-Function-4f437c0,getitemgroupfromitemindex,1,1,0,BlackOps4.exe+32DECF0,
GSC-Function-4f437c0,getgametypeenumfromname,2,2,0,BlackOps4.exe+32DED30,
GSC-Function-4f437c0,setscoreboardcolumns,5,e,0,BlackOps4.exe+3344010,
GSC-Function-4f437c0,recordnumzombierounds,0,1,0,BlackOps4.exe+3307720,
GSC-Function-4f437c0,recordgameresult,0,1,0,BlackOps4.exe+3307770,
GSC-Function-4f437c0,finalizematchrecord,0,0,0,BlackOps4.exe+3307AA0,
GSC-Function-4f437c0,function_f8d53445,0,0,0,BlackOps4.exe+3307AB0,
GSC-Function-4f437c0,matchrecordroundend,0,0,0,BlackOps4.exe+3307BA0,
GSC-Function-4f437c0,matchrecordroundstart,0,0,0,BlackOps4.exe+3307B50,
GSC-Function-4f437c0,matchrecordovertimeround,0,0,0,BlackOps4.exe+3307BB0,
GSC-Function-4f437c0,gettouchingvolume,3,3,0,BlackOps4.exe+32DF020,
